ARRASTO,LOCAL,ESPECIE,N° DE INDIVIDUOS,CT (cm),PESO (g),PONTO
1,Náutico,Anc.brev,1.0,"9,6","5,35",1
1,Náutico,Anc.brev,2.0,9,"4,39",1
1,Náutico,Anc.brev,3.0,"8,7","3,92",1
1,Náutico,Anc.brev,4.0,9,"4,39",1
1,Náutico,Anc.brev,5.0,"9,5","5,42",1
1,Náutico,Anc.brev,6.0,"8,4","3,91",1
1,Náutico,Anc.brev,7.0,"8,9","4,74",1
1,Náutico,Anc.brev,8.0,"9,3","5,32",1
1,Náutico,Anc.brev,9.0,"7,8","3,4",1
1,Náutico,Anc.brev,10.0,"8,2","3,53",1
1,Náutico,Anc.brev,11.0,"8,6","4,49",1
1,Náutico,Anc.brev,12.0,"9,1","4,77",1
1,Náutico,Anc.brev,13.0,"8,9","4,37",1
1,Náutico,Anc.brev,14.0,"8,4","3,51",1
1,Náutico,Anc.brev,15.0,"8,9","4,41",1
1,Náutico,Anc.brev,16.0,"8,5","3,54",1
1,Náutico,Anc.brev,17.0,"9,3","4,98",1
1,Náutico,Anc.brev,18.0,"8,5","3,52",1
1,Náutico,Anc.brev,19.0,"8,4","3,59",1
1,Náutico,Anc.brev,20.0,"8,6","4,41",1
1,Náutico,Anc.brev,21.0,"9,5","5,23",1
1,Náutico,Anc.brev,22.0,"9,4","4,89",1
1,Náutico,Anc.brev,23.0,"9,5","5,32",1
1,Náutico,Anc.brev,24.0,"8,4","3,59",1
1,Náutico,Anc.brev,25.0,"9,3","4,89",1
1,Náutico,Anc.brev,26.0,"8,7","4,14",1
1,Náutico,Anc.brev,27.0,"8,5","4,55",1
1,Náutico,Anc.brev,28.0,"9,2","4,94",1
1,Náutico,Anc.brev,29.0,"8,7","3,74",1
1,Náutico,Anc.brev,30.0,"8,7","4,03",1
1,Náutico,Anc.brev,31.0,"9,5","5,5",1
1,Náutico,Anc.brev,32.0,"8,7","4,07",1
1,Náutico,Anc.brev,33.0,"8,9","5,39",1
1,Náutico,Anc.brev,34.0,"8,4","3,5",1
1,Náutico,Anc.brev,35.0,"9,5","5,38",1
1,Náutico,Anc.brev,36.0,"9,1","4,77",1
1,Náutico,Anc.brev,37.0,"9,1","4,55",1
1,Náutico,Anc.brev,38.0,"9,5","5,34",1
1,Náutico,Anc.brev,39.0,"8,6","3,99",1
1,Náutico,Anc.brev,40.0,"8,5","3,8",1
1,Náutico,Anc.brev,41.0,"9,4","5,18",1
1,Náutico,Anc.brev,42.0,"8,2","3,52",1
1,Náutico,Anc.brev,43.0,"7,7","2,79",1
1,Náutico,Anc.brev,44.0,"8,5","3,69",1
1,Náutico,Anc.brev,45.0,"9,3","4,56",1
1,Náutico,Anc.brev,46.0,"8,9","4,41",1
1,Náutico,Anc.brev,47.0,"8,5","3,71",1
1,Náutico,Anc.brev,48.0,"8,4","3,44",1
1,Náutico,Anc.brev,49.0,"7,9","2,76",1
1,Náutico,Anc.brev,50.0,8,"3,15",1
1,Náutico,Anc.brev,51.0,"8,3","3,53",1
1,Náutico,Anc.brev,52.0,"9,2",5,1
1,Náutico,Anc.brev,53.0,"8,5","3,81",1
1,Náutico,Anc.brev,54.0,"8,4","3,59",1
1,Náutico,Anc.brev,55.0,"9,4","5,1",1
1,Náutico,Anc.brev,56.0,"8,7","4,3",1
1,Náutico,Anc.brev,57.0,"8,6","3,98",1
1,Náutico,Anc.brev,58.0,"8,5","4,05",1
1,Náutico,Anc.brev,59.0,"9,3","5,25",1
1,Náutico,Anc.brev,60.0,"8,2","3,44",1
1,Náutico,Anc.brev,61.0,"8,6","4,12",1
1,Náutico,Anc.brev,62.0,"8,5","3,86",1
1,Náutico,Anc.brev,63.0,"8,6","4,1",1
1,Náutico,Anc.brev,64.0,"8,3","3,45",1
1,Náutico,Anc.brev,65.0,"8,5","3,83",1
1,Náutico,Anc.brev,66.0,"9,1","4,56",1
1,Náutico,Anc.brev,67.0,"8,1","3,42",1
1,Náutico,Anc.brev,68.0,"8,3","3,48",1
1,Náutico,Anc.brev,69.0,9,"4,54",1
1,Náutico,Anc.brev,70.0,"9,1","4,73",1
1,Náutico,Anc.brev,71.0,"8,7","3,99",1
1,Náutico,Anc.brev,72.0,8,"3,43",1
1,Náutico,Anc.brev,73.0,"8,5","4,34",1
1,Náutico,Anc.brev,74.0,8,"3,26",1
1,Náutico,Anc.brev,75.0,9,"4,72",1
1,Náutico,Anc.brev,76.0,"9,2","5,42",1
1,Náutico,Anc.brev,77.0,9,"5,29",1
1,Náutico,Anc.brev,78.0,"8,5","3,65",1
1,Náutico,Anc.brev,79.0,9,"4,39",1
1,Náutico,Anc.brev,80.0,"8,5","3,82",1
1,Náutico,Anc.brev,81.0,"8,6","4,14",1
1,Náutico,Anc.brev,82.0,"9,5","5,45",1
1,Náutico,Anc.brev,83.0,"10,6","7,44",1
1,Náutico,Anc.brev,84.0,"9,1","4,65",1
1,Náutico,Anc.brev,85.0,"9,3","5,14",1
1,Náutico,Anc.brev,86.0,"9,5","5,86",1
1,Náutico,Anc.brev,87.0,8,"3,24",1
1,Náutico,Anc.brev,88.0,9,"4,38",1
1,Náutico,Anc.brev,89.0,"8,5","3,46",1
1,Náutico,Anc.brev,90.0,8,"2,97",1
1,Náutico,Anc.brev,91.0,"8,6","4,02",1
1,Náutico,Anc.brev,92.0,"8,4","3,53",1
1,Náutico,Anc.brev,93.0,9,"4,56",1
1,Náutico,Anc.brev,94.0,"8,9","4,16",1
1,Náutico,Anc.brev,95.0,"8,9","4,5",1
1,Náutico,Anc.brev,96.0,9,"4,34",1
1,Náutico,Anc.brev,97.0,"8,7","4,59",1
1,Náutico,Anc.brev,98.0,"9,5","5,1",1
1,Náutico,Anc.brev,99.0,"8,5","3,94",1
1,Náutico,Anc.brev,100.0,"9,4","5,12",1
1,Náutico,Anc.brev,101.0,"8,5","4,35",1
1,Náutico,Anc.brev,102.0,"8,4","3,74",1
1,Náutico,Anc.brev,103.0,"8,3","3,68",1
1,Náutico,Anc.brev,104.0,"8,4","3,78",1
1,Náutico,Anc.brev,105.0,"7,5","4,33",1
1,Náutico,Anc.brev,106.0,"7,6","3,05",1
1,Náutico,Anc.brev,107.0,"8,5","3,59",1
1,Náutico,Anc.brev,108.0,9,"4,69",1
1,Náutico,Anc.brev,109.0,"9,1","4,7",1
1,Náutico,Anc.brev,110.0,"8,4","4,14",1
1,Náutico,Anc.brev,111.0,"9,2","4,91",1
1,Náutico,Anc.brev,112.0,9,"4,41",1
1,Náutico,Anc.brev,113.0,"8,6","4,33",1
1,Náutico,Anc.brev,114.0,"9,1","4,79",1
1,Náutico,Anc.brev,115.0,"7,9","3,02",1
1,Náutico,Anc.brev,116.0,"8,9","4,12",1
1,Náutico,Anc.brev,117.0,8,"2,98",1
1,Náutico,Anc.brev,118.0,"8,7","4,37",1
1,Náutico,Anc.brev,119.0,"8,5","3,7",1
1,Náutico,Anc.brev,120.0,"9,6","5,56",1
1,Náutico,Anc.brev,121.0,9,"4,48",1
1,Náutico,Anc.brev,122.0,"9,5","4,74",1
1,Náutico,Anc.brev,123.0,"9,4","5,29",1
1,Náutico,Anc.brev,124.0,"7,5","3,15",1
1,Náutico,Anc.brev,125.0,9,"4,62",1
1,Náutico,Anc.brev,126.0,"9,6","5,63",1
1,Náutico,Anc.brev,127.0,"8,4","3,54",1
1,Náutico,Anc.brev,128.0,"9,5","4,87",1
1,Náutico,Anc.brev,129.0,10,"4,61",1
1,Náutico,Anc.brev,130.0,"9,8","5,48",1
1,Náutico,Anc.brev,131.0,"10,1","6,05",1
1,Náutico,Hae. corv,1.0,7.8,5.32,1
1,Náutico,Hae. corv,2.0,7.5,5.2,1
1,Náutico,Hae. corv,3.0,8.0,6.01,1
1,Náutico,Hae. corv,4.0,7.5,4.92,1
1,Náutico,Hae. corv,5.0,6.5,3.34,1
1,Náutico,Hae. corv,6.0,7.7,5.58,1
1,Náutico,Hae. corv,7.0,7.2,4.85,1
1,Náutico,Hae. corv,8.0,7.3,4.51,1
1,Náutico,Hae. corv,9.0,7.4,4.63,1
1,Náutico,Hae. corv,10.0,7.9,6.07,1
1,Náutico,Hae. corv,11.0,7.8,6.2,1
1,Náutico,Hae. corv,12.0,6.7,3.41,1
1,Náutico,Hae. corv,13.0,7.8,5.34,1
1,Náutico,Hae. corv,14.0,6.9,3.51,1
1,Náutico,Hae. corv,15.0,7.4,5.08,1
1,Náutico,Hae. corv,16.0,8.2,6.26,1
1,Náutico,Hae. corv,17.0,7.6,5.16,1
1,Náutico,Hae. corv,18.0,7.1,4.53,1
1,Náutico,Hae. corv,19.0,7.0,3.99,1
1,Náutico,Hae. corv,20.0,6.8,3.68,1
1,Náutico,Hae. corv,21.0,7.8,5.89,1
1,Náutico,Hae. corv,22.0,5.9,2.45,1
1,Náutico,Hae. corv,23.0,6.6,3.72,1
1,Náutico,Hae. corv,24.0,6.4,3.26,1
1,Náutico,Hae. corv,25.0,7.3,4.51,1
1,Náutico,Hae. corv,26.0,6.9,3.96,1
1,Náutico,Hae. corv,27.0,6.7,3.56,1
1,Náutico,Hae. corv,28.0,7.3,4.73,1
1,Náutico,Hae. corv,29.0,6.9,4.03,1
1,Náutico,Hae. corv,30.0,7.3,4.39,1
1,Náutico,Hae. corv,31.0,5.8,2.34,1
1,Náutico,Hae. corv,32.0,7.3,4.3,1
